2021-12-28 00:12:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-12-28 00:12:55 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-12-28 00:12:57 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4cf30e82-c151-38d0-a603-41b2b8893dad
2021-12-28 00:12:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-12-28 00:12:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-12-28 00:12:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-12-28 00:12:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-12-28 00:12:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-12-28 00:12:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2290 ms
2021-12-28 00:13:02 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2021-12-28 00:13:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-12-28 00:13:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-12-28 00:13:02 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 9.324 seconds (JVM running for 10.368)
2021-12-28 00:15:25 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-12-28 00:15:25 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-12-28 00:15:25 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-12-28 00:15:32 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [C:\Users\DELL\AppData\Local\Temp\config-repo-5897681513838239527\config-client-twitter_to_kafka.yml]' via location 'file:/C:/Users/DELL/AppData/Local/Temp/config-repo-5897681513838239527/'
2021-12-28 00:15:32 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [C:\Users\DELL\AppData\Local\Temp\config-repo-5897681513838239527\config-client.yml]' via location 'file:/C:/Users/DELL/AppData/Local/Temp/config-repo-5897681513838239527/'
2021-12-28 00:16:38 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [C:\Users\DELL\AppData\Local\Temp\config-repo-5897681513838239527\config-client-twitter_to_kafka.yml]' via location 'file:/C:/Users/DELL/AppData/Local/Temp/config-repo-5897681513838239527/'
2021-12-28 00:16:38 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [C:\Users\DELL\AppData\Local\Temp\config-repo-5897681513838239527\config-client.yml]' via location 'file:/C:/Users/DELL/AppData/Local/Temp/config-repo-5897681513838239527/'
2021-12-28 00:19:31 [Thread-4] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\DELL\AppData\Local\Temp\config-repo-5897681513838239527\.git\objects\pack\pack-46d26442dadf10995ddcdaeb72ec3528bac71fac.idx
